"row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Target_annotation","Target_Contig"
"FUN_000001",0.413865041910851,-1.49251384085987,3.51056761992576,-0.42514886549641,0.670728157647364,NA,"",2
"FUN_000002",0,NA,NA,NA,NA,NA,"",7
"FUN_000003",9.31637405295278,0.357304792293634,2.39261668429802,0.149336412572273,0.881288184327174,0.950109030138776,"",7
"FUN_000004",8.36601451592704,-2.93087100662551,2.82253020920666,-1.03838428267852,0.299091183954978,0.557386566998869,"",7
"FUN_000005",0,NA,NA,NA,NA,NA,"",8
"FUN_000006",3.58124210183723,-4.63196822384254,2.08591405653837,-2.22059399299002,0.0263784730394208,0.130752963548992,"",10
"FUN_000007",0,NA,NA,NA,NA,NA,"",13
"FUN_000008",0,NA,NA,NA,NA,NA,"",13
"FUN_000009",0,NA,NA,NA,NA,NA,"",13
"FUN_000010",102.186856664272,1.17485854622406,0.641819161630429,1.8305133540101,0.0671732117671836,0.234293135511693,"NFXL1",15
"FUN_000011",36.1028398507151,-7.9778913817266,1.62482130290004,-4.91001156095587,9.10710237125395e-07,5.00713054606714e-05,"SMCO3_1",18
"FUN_000012",3.28842627335041,3.18777538366638,2.35436351383451,1.3539860624473,0.175740824348132,0.41045703360353,"",22
"FUN_000013",0.144136124828084,1.30195105411504,3.53381767011886,0.368426210872178,0.712555456380992,NA,"",24
"FUN_000014",0,NA,NA,NA,NA,NA,"",24
"FUN_000016",2.39192782292105,2.42313599059756,1.73458872090919,1.39695131265898,0.162428212579349,NA,"",25
"FUN_000017",95.3198925016241,0.208003162073889,0.408482215077159,0.509209836796931,0.610605148798816,0.803796480391559,"",26
"FUN_000018",186.364636267695,0.692053408873643,0.336626452140948,2.05584975414788,0.0397970005419991,0.169027411472992,"COL4A3BP",26
"FUN_000019",10.3523132571695,2.4005236307851,1.37726440686587,1.74296498102916,0.0813397320191006,0.26173518594604,"TNFSF15_1",26
"FUN_000021",9.28296160350803,0.222876609391406,0.888723712155528,0.250782786982061,0.80198205038893,0.912131856799523,"",26
"FUN_000022",0.374183262218969,2.73393218551156,3.43804058015249,0.795200673690215,0.426496779977457,NA,"",26
"FUN_000023",47.9516365096324,0.875919908593405,0.631314203222721,1.38745477944584,0.165303131059856,0.396639095655171,"",26
"FUN_000024",128.407647610631,1.84452395304036,0.387692755413258,4.75769517816809,1.95815891312016e-06,9.54324459930019e-05,"FASTKD5_1",26
"FUN_000025",38.5431990196134,0.590000169192821,0.681262337504396,0.866039610165614,0.386468440359301,0.640856429119709,"",26
"FUN_000027",2.8186867910298,-4.29472595141748,3.44624445397733,-1.24620467548694,0.212689263010649,0.459771706602511,"ATP1B4_1",27
"FUN_000028",5.33548879089533,-2.13265937889933,2.55675454514153,-0.834127539912627,0.404209117592428,0.657243559027873,"",27
"FUN_000029",0.293534258016331,-0.740784382651737,3.52620184443631,-0.210079971406219,0.83360525717586,NA,"",27
"FUN_000031",0.128457343037288,1.30195105411504,3.53381767011886,0.368426210872178,0.712555456380992,NA,"",27
"FUN_000032",3.0718563035055,-4.40934838071715,2.14269919292407,-2.05784759488328,0.0396047656166271,0.168510209903209,"",27
"FUN_000033",0,NA,NA,NA,NA,NA,"",29
"FUN_000034",249.921087309521,-0.99242292265187,0.685182359706581,-1.44840699500329,0.147503259655108,0.371023236787628,"",29
"FUN_000036",0,NA,NA,NA,NA,NA,"IL17D_1",29
"FUN_000037",3.18180160407594,-4.4708903918799,3.44487253639628,-1.29783913472658,NA,NA,"IL17B",29
"FUN_000038",18.2799318342566,-3.6281976094713,2.34327024254834,-1.54834792146107,0.121538552545779,0.332676182242211,"IL17D_2",29
"FUN_000040",68.8420151756678,-2.24639497178489,1.62989395296965,-1.3782460924479,0.168127320738546,0.400784668688093,"",30
"FUN_000041",33.3786047805386,-0.637153471423324,0.989232345010398,-0.644088797376139,0.519517854346334,0.745155892378918,"",30
"FUN_000042",1.8323913702837,4.38503506190658,2.81854690554569,1.55577863660126,0.11976073985704,NA,"",30
"FUN_000043",0.614512414509238,1.57274626852412,3.43620233065877,0.45769897031139,0.647168727885542,NA,"",30
"FUN_000045",0,NA,NA,NA,NA,NA,"",31
"FUN_000046",20.724926436811,1.1807119036926,0.8932719293642,1.32178328332,0.186240326425207,0.425464301270917,"ACER3",31
"FUN_000047",0,NA,NA,NA,NA,NA,"",31
"FUN_000048",4.23937779952837,1.511924673,1.84155419873496,0.821004711150293,0.411643584725196,0.663519836294049,"",31
"FUN_000050",5.32314375208504,-0.950778934738087,1.34083751886121,-0.709093325152174,0.478266564835311,0.716203947013149,"",32
"FUN_000051",0,NA,NA,NA,NA,NA,"",32
"FUN_000052",3231.6292211909,2.75762003100881,0.50723830609128,5.43653741819839,5.43259347495828e-08,4.14009768373462e-06,"MKI67",32
"FUN_000053",817.896985061009,2.86490996673442,0.556904331888028,5.14434850420672,2.68450782468754e-07,1.73727263749779e-05,"",32
"FUN_000055",132.611539563069,-4.14471436248308,1.40870471391199,-2.94221657779021,0.00325871931010392,0.0335523668680209,"",33
"FUN_000057",32.0191521079874,-7.80640584721037,2.12918163704196,-3.66638792642214,0.000246000658313486,0.00510037919515922,"",33
"FUN_000058",215.456860848994,-2.64915137849752,0.398016048958301,-6.65589085020807,2.81589177740119e-11,4.34219311737067e-09,"",34
"FUN_000059",14.3876602317575,-0.24292091165148,0.82974892101374,-0.292764359795362,0.769702271953254,0.89409036274796,"",34
"FUN_000060",0,NA,NA,NA,NA,NA,"",34
