"FUN_ID","module"
"FUN_001447","cyan"
"FUN_001448","magenta"
"FUN_046706","orange"
"FUN_001465","darkgreen"
"FUN_001466","darkorange"
"FUN_001475","orange"
"FUN_001478","darkturquoise"
"FUN_001480","orange"
"FUN_001481","green"
"FUN_001482","green"
"FUN_001483","green"
"FUN_001507","violet"
"FUN_001514","lightyellow"
"FUN_001517","violet"
"FUN_001526","yellow"
"FUN_001529","cyan"
"FUN_001530","orange"
"FUN_001534","red"
"FUN_001543","yellow"
"FUN_001545","red"
"FUN_001547","darkturquoise"
"FUN_001548","darkturquoise"
"FUN_046721","greenyellow"
"FUN_001551","grey60"
"FUN_001552","orange"
"FUN_001558","black"
"FUN_001565","orange"
"FUN_001566","orange"
"FUN_001567","greenyellow"
"FUN_001568","darkred"
"FUN_001569","orange"
"FUN_001571","greenyellow"
"FUN_001573","lightyellow"
"FUN_001580","greenyellow"
"FUN_001581","tan"
"FUN_001582","magenta"
"FUN_001586","darkred"
"FUN_001594","yellow"
"FUN_001596","yellow"
"FUN_001609","darkred"
"FUN_001612","yellow"
"FUN_001613","purple"
"FUN_001614","orange"
"FUN_001615","orange"
"FUN_001616","red"
"FUN_001623","darkturquoise"
"FUN_001624","orange"
"FUN_001628","orange"
"FUN_001629","orange"
"FUN_001630","magenta"
"FUN_001633","black"
"FUN_001634","tan"
"FUN_001637","violet"
"FUN_001658","orange"
"FUN_001671","green"
"FUN_001676","greenyellow"
"FUN_001677","royalblue"
"FUN_001678","grey60"
"FUN_001679","grey60"
"FUN_001680","greenyellow"
"FUN_001681","orange"
"FUN_001682","tan"
"FUN_001683","grey"
"FUN_001684","cyan"
"FUN_001685","greenyellow"
"FUN_001686","orange"
"FUN_001699","violet"
"FUN_001701","violet"
"FUN_001702","grey"
"FUN_001707","greenyellow"
"FUN_001709","darkgreen"
"FUN_001710","violet"
"FUN_001713","grey"
"FUN_001715","darkred"
"FUN_001728","lightyellow"
"FUN_001736","greenyellow"
"FUN_001741","lightyellow"
"FUN_001753","magenta"
"FUN_001765","greenyellow"
"FUN_001771","greenyellow"
"FUN_001772","tan"
"FUN_001777","orange"
"FUN_001784","cyan"
"FUN_001786","orange"
"FUN_001789","lightyellow"
"FUN_001790","greenyellow"
"FUN_001796","greenyellow"
"FUN_001797","red"
"FUN_001806","darkturquoise"
"FUN_001808","green"
"FUN_001809","green"
"FUN_001810","cyan"
"FUN_001812","greenyellow"
"FUN_046775","greenyellow"
"FUN_001822","darkturquoise"
"FUN_001827","yellow"
"FUN_001830","darkgreen"
"FUN_001835","orange"
"FUN_046776","greenyellow"
"FUN_001843","greenyellow"
"FUN_001845","red"
"FUN_001850","violet"
"FUN_001857","greenyellow"
