"X","PohiBra080_sorted.bam","PohiBra081_sorted.bam","PohiBra083_sorted.bam","PohiBra084_sorted.bam","PohiBra085_sorted.bam","PohiBra086_sorted.bam","PstrBra093_sorted.bam","PstrBra094_sorted.bam","PstrBra098_sorted.bam"
"FUN_000139",0,0,0,3,0,0,0,0,1
"FUN_000140",0,0,0,0,6,0,4,0,12
"FUN_000141",445,395,1008,419,462,560,434,525,225
"FUN_000143",4,51,41,32,27,11,10,25,14
"FUN_000144",0,0,0,0,0,0,0,0,0
"FUN_000145",336,241,103,435,322,66,411,116,201
"FUN_000150",0,0,0,0,0,0,11,2,4
"FUN_000154",1408,1469,4195,1759,1933,763,1786,1784,1362
"FUN_000156",0,0,0,0,2,0,15,0,0
"FUN_000157",523,582,1959,689,676,176,914,723,506
"FUN_000158",3,0,0,0,0,0,34,0,40
"FUN_000159",0,0,0,0,0,0,12,0,27
"FUN_000160",0,1,0,0,0,0,0,0,0
"FUN_000162",0,0,0,0,0,0,3,7,0
"FUN_000163",119,283,880,149,164,552,402,669,246
"FUN_000165",0,0,0,0,0,0,0,0,0
"FUN_000166",0,0,0,0,0,0,0,0,0
"FUN_000167",0,0,0,0,0,0,0,0,0
"FUN_000168",0,0,0,0,0,0,0,0,0
"FUN_000169",2,0,0,0,0,0,0,0,0
"FUN_000170",0,6,0,0,0,0,0,0,0
"FUN_000171",0,0,0,0,0,0,0,0,0
"FUN_000172",0,5,0,0,0,0,0,0,0
"FUN_000173",0,1,0,0,0,0,0,0,0
"FUN_000174",0,0,0,0,0,0,0,0,0
"FUN_000175",0,0,10,0,0,0,3,0,7
"FUN_000176",0,0,0,0,0,0,5,2,7
"FUN_000177",0,0,0,0,0,0,0,0,0
"FUN_000178",0,0,0,0,0,0,0,0,0
"FUN_000179",0,0,0,0,0,0,0,0,0
"FUN_000180",7,3,4,4,5,7,38,5,13
"FUN_000181",0,0,0,0,0,0,0,0,0
"FUN_000182",13,0,0,0,0,0,0,0,0
"FUN_000183",15,10,0,24,9,2,1,1,0
"FUN_000184",6,3,27,22,8,3,4,6,0
"FUN_000185",0,6,0,0,0,0,0,0,0
"FUN_000187",3573,802,10001,4168,3793,1149,4036,3234,2665
"FUN_000189",8,0,0,8,10,10,118,86,4
"FUN_000191",0,0,0,0,0,0,0,0,0
"FUN_000193",0,0,0,0,0,0,0,0,0
"FUN_000194",0,0,0,0,1,0,0,0,0
"FUN_000195",0,7,0,0,0,0,0,0,0
"FUN_000196",30,16,0,3,11,73,49,84,31
"FUN_000198",0,2,0,0,0,0,0,0,0
"FUN_000199",0,0,0,0,0,0,0,0,0
"FUN_000200",0,0,0,0,1,0,0,0,0
"FUN_000201",0,0,0,0,0,0,0,0,0
"FUN_000202",50,5,0,0,0,3,0,4,0
"FUN_000203",0,0,0,0,0,0,0,0,0
"FUN_000204",127,1,0,0,0,0,0,0,0
