"row","kTotal","kWithin","kOut","kDiff","module","Target_annotation","Target_Contig"
"FUN_000010",149.742034450363,24.644034624419,125.097999825944,-100.453965201525,"grey60","NFXL1",15
"FUN_000017",12.4965703747546,0.852126760045945,11.6444436147086,-10.7923168546627,"grey","",26
"FUN_000018",53.9937841540059,39.3227706126674,14.6710135413385,24.6517570713288,"greenyellow","COL4A3BP",26
"FUN_000024",283.399099294794,251.934010854402,31.4650884403918,220.46892241401,"greenyellow","FASTKD5_1",26
"FUN_000034",72.8344251021228,34.7035696552937,38.1308554468291,-3.42728579153533,"magenta","",29
"FUN_000052",370.426693033129,326.163604953876,44.2630880792532,281.900516874623,"greenyellow","MKI67",32
"FUN_000053",320.156685062664,281.185059760285,38.9716253023791,242.213434457906,"greenyellow","",32
"FUN_000055",301.102507055409,268.475473445384,32.6270336100251,235.848439835359,"violet","",33
"FUN_000058",131.979346851136,61.6876365569991,70.2917102941373,-8.60407373713818,"yellow","",34
"FUN_000062",28.698534091054,5.60957003830897,23.088964052745,-17.4793940144361,"royalblue","",34
"FUN_000064",20.6726690588231,8.45608329033854,12.2165857684845,-3.76050247814597,"lightyellow","",34
"FUN_000066",167.18690131754,53.2591449701555,113.927756347385,-60.6686113772294,"cyan","",37
"FUN_000067",17.4436920118973,4.68858588595608,12.7551061259412,-8.06652023998514,"darkturquoise","ANXA7",37
"FUN_000070",35.3580647324189,25.3911318651417,9.96693286727715,15.4241989978646,"tan","",38
"FUN_000071",97.2816255223063,58.7295815988017,38.5520439235046,20.1775376752971,"tan","",38
"FUN_000080",106.324928613075,87.0411633640798,19.2837652489952,67.7573981150845,"lightyellow","",40
"FUN_047065",103.479187567269,81.5196633294103,21.9595242378584,59.5601390915518,"lightyellow","",40
"FUN_000081",110.282998579333,90.6070621081186,19.675936471214,70.9311256369046,"lightyellow","",40
"FUN_000082",52.4339861210589,31.5842297543003,20.8497563667586,10.7344733875417,"lightyellow","UXS1",41
"FUN_000086",14.6779520825893,5.65259653513187,9.0253555474574,-3.37275901232553,"cyan","TNFSF10_1",41
"FUN_000090",212.770089020511,140.072689959775,72.6973990607368,67.3752908990378,"greenyellow","SLX4",42
"FUN_000096",106.842450434903,35.260018890205,71.5824315446982,-36.3224126544932,"black","IFI44L_5",43
"FUN_000098",97.6005483006663,63.1218891290383,34.4786591716281,28.6432299574102,"cyan","",44
"FUN_000112",78.5045836920569,49.9189245296198,28.5856591624371,21.3332653671826,"violet","ATP10B_2",44
"FUN_000113",165.307986193009,82.0791733285332,83.2288128644754,-1.14963953594219,"yellow","COMMD8",44
"FUN_000114",54.0621277737208,20.4793301034499,33.5827976702708,-13.1034675668209,"royalblue","",44
"FUN_000115",27.1027163913615,11.5327036094523,15.5700127819092,-4.03730917245684,"lightyellow","PHKA2",44
"FUN_000117",32.8597502516685,15.3489800917341,17.5107701599344,-2.16179006820034,"red","",44
"FUN_000120",94.0862851201733,74.6944824396624,19.3918026805109,55.3026797591515,"orange","TOR1A_2",44
"FUN_000123",67.5816683883003,49.8000802924608,17.7815880958395,32.0184921966214,"lightyellow","",46
"FUN_000128",51.3521436469759,17.0592866541179,34.292856992858,-17.2335703387401,"darkturquoise","",46
"FUN_000141",26.4444241791497,12.6877350915437,13.756689087606,-1.0689539960623,"orange","",50
"FUN_000145",41.2463088860199,24.102768589542,17.143540296478,6.959228293064,"darkred","",52
"FUN_000154",28.779250344446,6.27951930951217,22.4997310349338,-16.2202117254216,"darkred","GSTM3_1",53
"FUN_000157",60.0114291988975,38.4778606915535,21.533568507344,16.9442921842095,"cyan","GSTM3_3",53
"FUN_000163",159.084374024918,131.285528261421,27.7988457634964,103.486682497925,"orange","TENT5A",55
"FUN_000187",26.1266576157024,6.8140314629657,19.3126261527367,-12.498594689771,"green","",57
"FUN_000206",144.584622327008,71.9720104069759,72.6126119200324,-0.640601513056509,"lightyellow","ZFAND3",61
"FUN_000207",44.8262160425844,23.4733029743752,21.3529130682092,2.12038990616603,"orange","UNC79_1",61
"FUN_047109",86.8839535828972,79.8282335064407,7.05572007645652,72.7725134299841,"orange","UNC79_2",61
"FUN_000208",86.8458283445754,19.1963826621661,67.6494456824093,-48.4530630202431,"black","",61
"FUN_000218",272.566856065339,202.803917399527,69.7629386658116,133.040978733715,"greenyellow","",62
